CountryCode,Geonames_code,URI,,,,
WA,,rdf.bonsai.uno/location/exiobase3_3_17/WA,,,,
WL,,rdf.bonsai.uno/location/exiobase3_3_17/WL,,,,
WE,,rdf.bonsai.uno/location/exiobase3_3_17/WE,,,,
WF,,rdf.bonsai.uno/location/exiobase3_3_17/WF,,,,
WM,,rdf.bonsai.uno/location/exiobase3_3_17/WM,,,,
AU,2077456,sws.geonames.org/2077456,,,,
AT,2782113,sws.geonames.org/2782113,,,,
BE,2802361,sws.geonames.org/2802361,,,,
BR,3469034,sws.geonames.org/3469034,,,,
BG,732800,sws.geonames.org/732800,,,,
CA,6251999,sws.geonames.org/6251999,,,,
CN,1814991,sws.geonames.org/1814991,,,,
CY,146669,sws.geonames.org/146669,,,,
CZ,3077311,sws.geonames.org/3077311,,,,
DK,2623032,sws.geonames.org/2623032,,,,
EE,453733,sws.geonames.org/453733,,,,
FI,660013,sws.geonames.org/660013,,,,
FR,3017382,sws.geonames.org/3017382,,,,
DE,2921044,sws.geonames.org/2921044,,,,
GR,390903,sws.geonames.org/390903,,,,
HU,719819,sws.geonames.org/719819,,,,
HR,3202326,sws.geonames.org/3202326,,,,
IN,1269750,sws.geonames.org/1269750,,,,
ID,1643084,sws.geonames.org/1643084,,,,
IE,2963597,sws.geonames.org/2963597,,,,
IT,3175395,sws.geonames.org/3175395,,,,
JP,1861060,sws.geonames.org/1861060,,,,
LV,458258,sws.geonames.org/458258,,,,
LT,597427,sws.geonames.org/597427,,,,
LU,2960313,sws.geonames.org/2960313,,,,
MT,2562770,sws.geonames.org/2562770,,,,
MX,3996063,sws.geonames.org/3996063,,,,
NL,2750405,sws.geonames.org/2750405,,,,
NO,3144096,sws.geonames.org/3144096,,,,
PL,798544,sws.geonames.org/798544,,,,
PT,2264397,sws.geonames.org/2264397,,,,
RO,798549,sws.geonames.org/798549,,,,
RU,2017370,sws.geonames.org/2017370,,,,
SK,3057568,sws.geonames.org/3057568,,,,
SI,3190538,sws.geonames.org/3190538,,,,
ZA,953987,sws.geonames.org/953987,,,,
KR,1835841,sws.geonames.org/1835841,,,,
ES,2510769,sws.geonames.org/2510769,,,,
SE,2661886,sws.geonames.org/2661886,,,,
CH,2658434,sws.geonames.org/2658434,,,,
TW,1668284,sws.geonames.org/1668284,,,,
TR,298795,sws.geonames.org/298795,,,,
GB,2635167,sws.geonames.org/2635167,,,,
US,6252001,sws.geonames.org/6252001,,,,
